72 	 # Number of sensors 
# x z 
0.00 0.00 
2.89 0.79 
5.83 1.39 
8.82 1.72 
11.80 1.44 
14.77 1.87 
17.76 2.10 
20.74 2.45 
23.71 2.90 
26.67 3.37 
29.66 3.57 
32.66 3.70 
35.66 3.88 
38.66 3.97 
41.65 4.11 
44.65 4.25 
47.64 4.03 
50.64 4.07 
53.64 4.11 
56.63 4.38 
59.62 4.59 
62.58 5.09 
65.40 6.10 
68.15 7.30 
71.02 8.19 
73.87 9.12 
76.73 10.04 
79.54 11.08 
82.43 11.87 
84.81 13.70 
87.71 14.47 
90.60 15.27 
93.33 16.51 
96.13 17.58 
98.95 18.62 
101.79 19.58 
104.59 20.67 
107.40 21.71 
110.20 22.79 
113.03 23.79 
115.88 24.72 
118.67 25.83 
121.47 26.91 
124.23 28.07 
126.99 29.25 
129.69 30.56 
132.37 31.91 
135.14 33.07 
138.07 33.72 
140.80 34.96 
143.59 36.05 
146.36 37.21 
149.11 38.41 
151.88 39.56 
154.68 40.64 
157.50 41.66 
160.37 42.53 
163.26 43.34 
164.68 45.98 
167.60 46.68 
170.51 47.38 
173.47 47.90 
176.44 48.32 
179.42 48.65 
182.40 49.02 
185.39 49.29 
188.38 49.50 
191.38 49.63 
194.37 49.78 
197.34 50.21 
200.33 50.46 
203.31 50.80 
636 	 # Number of measurements 
# a b m n rhoa err
1 46 16 31 27326.23  0.01
1 43 15 29 27800.67  0.01
1 40 14 27 29062.41  0.01
1 37 13 25 30204.05  0.01
1 34 12 23 29307.89  0.01
1 31 11 21 26000.50  0.01
1 28 10 19 24817.78  0.01
1 25 9 17 26443.50  0.01
1 22 8 15 34857.98  0.01
1 19 7 13 49875.75  0.01
1 16 6 11 63262.74  0.01
1 13 5 9 90429.41  0.01
1 10 4 7 122389.84  0.01
1 7 3 5 161461.91  0.01
1 4 2 3 155775.80  0.01
2 47 17 32 28318.83  0.01
2 44 16 30 27614.73  0.01
2 41 15 28 28497.20  0.01
2 38 14 26 30455.32  0.01
2 35 13 24 30758.08  0.01
2 32 12 22 27409.59  0.01
2 29 11 20 25459.35  0.01
2 26 10 18 25739.12  0.01
2 23 9 16 29939.49  0.01
2 20 8 14 43290.89  0.01
2 17 7 12 58746.51  0.01
2 14 6 10 77917.12  0.01
2 11 5 8 114364.41  0.01
2 8 4 6 146710.23  0.01
2 5 3 4 165459.19  0.01
3 48 18 33 27901.91  0.01
3 45 17 31 27623.34  0.01
3 42 16 29 28202.70  0.01
3 39 15 27 29236.91  0.01
3 36 14 25 30684.37  0.01
3 33 13 23 29798.42  0.01
3 30 12 21 26563.51  0.01
3 27 11 19 26268.40  0.01
3 24 10 17 28182.84  0.01
3 21 9 15 40104.03  0.01
3 18 8 13 52891.33  0.01
3 15 7 11 69113.65  0.01
3 12 6 9 97476.78  0.01
3 9 5 7 130127.38  0.01
3 6 4 5 164382.23  0.01
4 46 18 32 28141.99  0.01
4 43 17 30 27748.13  0.01
4 40 16 28 28963.90  0.01
4 37 15 26 30611.41  0.01
4 34 14 24 30945.04  0.01
4 31 13 22 28768.87  0.01
4 28 12 20 27226.67  0.01
4 25 11 18 28503.44  0.01
4 22 10 16 37715.37  0.01
4 19 9 14 52061.59  0.01
4 16 8 12 64989.73  0.01
4 13 7 10 92574.67  0.01
4 10 6 8 133023.42  0.01
4 7 5 6 169615.86  0.01
5 47 19 33 28106.33  0.01
5 44 18 31 27832.54  0.01
5 41 17 29 28837.38  0.01
5 38 16 27 30016.03  0.01
5 35 15 25 31323.39  0.01
5 32 14 23 31434.47  0.01
5 29 13 21 28804.42  0.01
5 26 12 19 29053.57  0.01
5 23 11 17 34551.95  0.01
5 20 10 15 52525.16  0.01
5 17 9 13 67465.68  0.01
5 14 8 11 87995.46  0.01
5 11 7 9 134712.91  0.01
5 8 6 7 153273.48  0.01
6 48 20 34 27336.61  0.01
6 45 19 32 28323.85  0.01
6 42 18 30 28463.71  0.01
6 39 17 28 30248.39  0.01
6 36 16 26 31802.19  0.01
6 33 15 24 32509.40  0.01
6 30 14 22 32092.68  0.01
6 27 13 20 32183.28  0.01
6 24 12 18 34988.83  0.01
6 21 11 16 53090.89  0.01
6 18 10 14 70490.16  0.01
6 15 9 12 89209.93  0.01
6 12 8 10 120062.50  0.01
6 9 7 8 168047.22  0.01
7 46 20 33 27799.15  0.01
7 43 19 31 28255.54  0.01
7 40 18 29 30170.94  0.01
7 37 17 27 31668.58  0.01
7 34 16 25 32782.15  0.01
7 31 15 23 35329.66  0.01
7 28 14 21 34484.61  0.01
7 25 13 19 36220.66  0.01
7 22 12 17 49387.59  0.01
7 19 11 15 73161.90  0.01
7 16 10 13 89933.36  0.01
7 13 9 11 112288.99  0.01
7 10 8 9 140993.94  0.01
8 47 21 34 27355.40  0.01
8 44 20 32 28538.88  0.01
8 41 19 30 29490.10  0.01
8 38 18 28 32037.02  0.01
8 35 17 26 34206.21  0.01
8 32 16 24 35862.88  0.01
8 29 15 22 37164.58  0.01
8 26 14 20 39470.97  0.01
8 23 13 18 46666.79  0.01
8 20 12 16 73052.24  0.01
8 17 11 14 97437.54  0.01
8 14 10 12 123521.55  0.01
8 11 9 10 146243.44  0.01
9 48 22 35 26023.46  0.01
9 45 21 33 27619.79  0.01
9 42 20 31 28760.32  0.01
